application_number,sponsor_name,brand_name,generic_name,submission_type,submission_number,submission_status,submission_status_date,review_priority,submission_class_code_description,application_type,generic_name_clean,brand_name_clean,is_orphan,has_ncd,ncd_category,nadac_per_unit,is_brand,has_nadac_price,launch_price,is_priority_review,is_standard_review,is_nda,is_bla,is_anda,is_new_molecular_entity,is_new_indication,approval_year,approval_month,approval_quarter,regulatory_advantage_score,likely_accelerated,therapeutic_area,therapeutic_area_encoded,is_high_value_area,is_complex_dosage,is_oral_simple,is_biologic,log_launch_price,price_tier,market_size_proxy,month_sin,month_cos,years_since_2010,is_q4_approval,is_election_year,coverage_difficulty_score,target_high_barrier
ANDA218089,MANKIND PHARMA LTD,REVEFENACIN,REVEFENACIN,ORIG,1,TA,2025-01-06,STANDARD,,ANDA,revefenacin,revefenacin,False,False,,,,False,,False,True,False,False,True,False,False,2025,1,1,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,0.8660254037844387,15,0,0,0.3333333333333333,0
NDA218623,AQUESTIVE,LIBERVANT,DIAZEPAM,ORIG,1,TA,2025-04-02,STANDARD,Type 3 - New Dosage Form,NDA,diazepam,libervant,False,False,,,,False,,False,True,True,False,False,False,False,2025,4,2,0,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844387,-0.4999999999999998,15,0,0,0.3333333333333333,0
ANDA219239,GLAND,EPINEPHRINE,EPINEPHRINE,ORIG,1,AP,2025-02-06,STANDARD,,ANDA,epinephrine,epinephrine,False,False,,,,False,,False,True,False,False,True,False,False,2025,2,1,0,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844386,0.5000000000000001,15,0,0,0.3333333333333333,0
BLA761064,GENENTECH INC,RITUXAN HYCELA,RITUXIMAB,ORIG,1,AP,2017-06-22,STANDARD,Type 5 - New Formulation or New Manufacturer,BLA,rituximab,rituxan hycela,False,False,,,,False,,False,True,False,True,False,False,False,2017,6,2,0,0,other,1,0,0,0,1,0.0,0,0,1.2246467991473532e-16,-1.0,7,0,0,0.8333333333333333,1
NDA020905,SANOFI AVENTIS US,ARAVA,LEFLUNOMIDE,ORIG,1,AP,1998-09-10,PRIORITY,Type 1 - New Molecular Entity,NDA,leflunomide,arava,False,False,,,,False,,True,False,True,False,False,True,False,1998,9,3,2,0,other,1,0,0,0,0,0.0,0,0,-1.0,-1.8369701987210297e-16,-12,0,0,0.0,0
NDA021241,JANSSEN PHARMS,ORTHO TRI-CYCLEN LO,ETHINYL ESTRADIOL,ORIG,1,AP,2002-08-22,STANDARD,Type 3 - New Dosage Form,NDA,ethinyl estradiol,ortho tri-cyclen lo,False,False,,,,False,,False,True,True,False,False,False,False,2002,8,3,0,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844385,-0.5000000000000004,-8,0,0,0.3333333333333333,0
NDA021566,TAKEDA PHARMS NA,PREVACID IV,LANSOPRAZOLE,ORIG,1,AP,2004-05-27,STANDARD,Type 3 - New Dosage Form,NDA,lansoprazole,prevacid iv,False,False,,,,False,,False,True,True,False,False,False,False,2004,5,2,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,-0.8660254037844387,-6,0,0,0.3333333333333333,0
NDA021951,SUN PHARM INDS INC,ABSORICA,ISOTRETINOIN,ORIG,1,AP,2012-05-25,STANDARD,Type 3 - New Dosage Form,NDA,isotretinoin,absorica,False,False,,,,False,,False,True,True,False,False,False,False,2012,5,2,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,-0.8660254037844387,2,0,1,0.3333333333333333,0
NDA022315,ABBVIE,OZURDEX,DEXAMETHASONE,ORIG,1,AP,2009-06-17,PRIORITY,Type 3 - New Dosage Form,NDA,dexamethasone,ozurdex,False,False,,,,False,,True,False,True,False,False,False,False,2009,6,2,1,0,other,1,0,0,0,0,0.0,0,0,1.2246467991473532e-16,-1.0,-1,0,0,0.0,0
ANDA040113,ACTAVIS ELIZABETH,CHLORZOXAZONE,CHLORZOXAZONE,ORIG,1,AP,1995-09-29,,,ANDA,chlorzoxazone,chlorzoxazone,False,False,,,,False,,False,False,False,False,True,False,False,1995,9,3,0,0,other,1,0,0,0,0,0.0,0,0,-1.0,-1.8369701987210297e-16,-15,0,0,0.3333333333333333,0
ANDA070513,WATSON LABS,TOLAZAMIDE,TOLAZAMIDE,ORIG,1,AP,1986-01-09,,,ANDA,tolazamide,tolazamide,False,False,,,,False,,False,False,False,False,True,False,False,1986,1,1,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,0.8660254037844387,-24,0,0,0.3333333333333333,0
ANDA040418,MALLINCKRODT,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,ACETAMINOPHEN,ORIG,1,AP,2001-06-27,,,ANDA,acetaminophen,hydrocodone bitartrate and acetaminophen,False,False,,,,False,,False,False,False,False,True,False,False,2001,6,2,0,0,other,1,0,0,0,0,0.0,0,0,1.2246467991473532e-16,-1.0,-9,0,0,0.3333333333333333,0
NDA005795,SHIRE,FURACIN,NITROFURAZONE,ORIG,1,AP,1945-10-04,STANDARD,Type 3 - New Dosage Form,NDA,nitrofurazone,furacin,False,False,,,,False,,False,True,True,False,False,False,False,1945,10,4,0,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844386,0.5000000000000001,-65,1,0,0.3333333333333333,0
NDA050753,VIATRIS,TOBI,TOBRAMYCIN,ORIG,1,AP,1997-12-22,PRIORITY,Type 3 - New Dosage Form,NDA,tobramycin,tobi,False,False,,,,False,,True,False,True,False,False,False,False,1997,12,4,1,0,other,1,0,0,0,0,0.0,0,0,-2.4492935982947064e-16,1.0,-13,1,0,0.0,0
ANDA062351,PADAGIS US,GENTAMICIN SULFATE,GENTAMICIN SULFATE,ORIG,1,AP,1982-02-18,,,ANDA,gentamicin sulfate,gentamicin sulfate,False,False,,,,False,,False,False,False,False,True,False,False,1982,2,1,0,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844386,0.5000000000000001,-28,0,0,0.3333333333333333,0
ANDA065141,SAMSON MEDCL,CEFAZOLIN SODIUM,CEFAZOLIN SODIUM,ORIG,1,AP,2006-11-29,,,ANDA,cefazolin sodium,cefazolin sodium,False,False,,,,False,,False,False,False,False,True,False,False,2006,11,4,0,0,other,1,0,0,0,0,0.0,0,0,-0.5000000000000004,0.8660254037844384,-4,1,0,0.3333333333333333,0
ANDA065404,CHARTWELL RX,AZITHROMYCIN,AZITHROMYCIN,ORIG,1,AP,2008-02-11,,,ANDA,azithromycin,azithromycin,False,False,,,,False,,False,False,False,False,True,False,False,2008,2,1,0,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844386,0.5000000000000001,-2,0,0,0.3333333333333333,0
ANDA062732,SANDOZ,NAFCILLIN SODIUM,NAFCILLIN SODIUM,ORIG,1,AP,1986-12-23,,,ANDA,nafcillin sodium,nafcillin sodium,False,False,,,,False,,False,False,False,False,True,False,False,1986,12,4,0,0,other,1,0,0,0,0,0.0,0,0,-2.4492935982947064e-16,1.0,-24,1,0,0.3333333333333333,0
ANDA063294,ASTELLAS,CEFIZOX,CEFTIZOXIME SODIUM,ORIG,1,AP,1994-03-31,,,ANDA,ceftizoxime sodium,cefizox,False,False,,,,False,,False,False,False,False,True,False,False,1994,3,1,0,0,other,1,0,0,0,0,0.0,0,0,1.0,6.123233995736766e-17,-16,0,0,0.3333333333333333,0
ANDA070182,CHARTWELL RX,METHYLDOPA AND HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,ORIG,1,AP,1986-01-15,,,ANDA,hydrochlorothiazide,methyldopa and hydrochlorothiazide,False,False,,,,False,,False,False,False,False,True,False,False,1986,1,1,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,0.8660254037844387,-24,0,0,0.3333333333333333,0
NDA006800,ABBVIE,PARADIONE,PARAMETHADIONE,ORIG,1,AP,1949-06-15,,,NDA,paramethadione,paradione,False,False,,,,False,,False,False,True,False,False,False,False,1949,6,2,0,0,other,1,0,0,0,0,0.0,0,0,1.2246467991473532e-16,-1.0,-61,0,0,0.3333333333333333,0
ANDA075638,SUN PHARMA CANADA,KETOZOLE,KETOCONAZOLE,ORIG,1,AP,2002-12-18,,,ANDA,ketoconazole,ketozole,False,False,,,,False,,False,False,False,False,True,False,False,2002,12,4,0,0,other,1,0,0,0,0,0.0,0,0,-2.4492935982947064e-16,1.0,-8,1,0,0.3333333333333333,0
ANDA071517,SUPERPHARM,PROPRANOLOL HYDROCHLORIDE,PROPRANOLOL HYDROCHLORIDE,ORIG,1,AP,1988-06-08,,,ANDA,propranolol hydrochloride,propranolol hydrochloride,False,False,,,,False,,False,False,False,False,True,False,False,1988,6,2,0,0,other,1,0,0,0,0,0.0,0,0,1.2246467991473532e-16,-1.0,-22,0,0,0.3333333333333333,0
ANDA072995,ROXANE,METOCLOPRAMIDE INTENSOL,METOCLOPRAMIDE HYDROCHLORIDE,ORIG,1,AP,1992-01-30,,,ANDA,metoclopramide hydrochloride,metoclopramide intensol,False,False,,,,False,,False,False,False,False,True,False,False,1992,1,1,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,0.8660254037844387,-18,0,0,0.3333333333333333,0
ANDA074037,HOSPIRA,ACETYLCYSTEINE,ACETYLCYSTEINE,ORIG,1,AP,1994-08-30,,,ANDA,acetylcysteine,acetylcysteine,False,False,,,,False,,False,False,False,False,True,False,False,1994,8,3,0,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844385,-0.5000000000000004,-16,0,0,0.3333333333333333,0
ANDA074407,FOUGERA PHARMS,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,ORIG,1,AP,1996-02-23,,,ANDA,clobetasol propionate,clobetasol propionate,False,False,,,,False,,False,False,False,False,True,False,False,1996,2,1,0,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844386,0.5000000000000001,-14,0,0,0.3333333333333333,0
ANDA074726,UPSHER SMITH LABS,KLOR-CON M10,POTASSIUM CHLORIDE,ORIG,1,AP,1998-11-20,,,ANDA,potassium chloride,klor-con m10,False,False,,,,False,,False,False,False,False,True,False,False,1998,11,4,0,0,other,1,0,0,0,0,0.0,0,0,-0.5000000000000004,0.8660254037844384,-12,1,0,0.3333333333333333,0
ANDA075039,CHARTWELL RX,OXYBUTYNIN CHLORIDE,OXYBUTYNIN CHLORIDE,ORIG,1,AP,1999-01-29,,,ANDA,oxybutynin chloride,oxybutynin chloride,False,False,,,,False,,False,False,False,False,True,False,False,1999,1,1,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,0.8660254037844387,-11,0,0,0.3333333333333333,0
ANDA075351,NOVITIUM PHARMA,"BUTALBITAL, ASPIRIN, CAFFEINE, AND CODEINE PHOSPHATE",ASPIRIN,ORIG,1,AP,1999-03-05,,,ANDA,aspirin,"butalbital, aspirin, caffeine, and codeine phosphate",False,False,,,,False,,False,False,False,False,True,False,False,1999,3,1,0,0,other,1,0,0,0,0,0.0,0,0,1.0,6.123233995736766e-17,-11,0,0,0.3333333333333333,0
ANDA076847,DR REDDYS LABS INC,SUMATRIPTAN SUCCINATE,SUMATRIPTAN SUCCINATE,ORIG,1,AP,2009-08-10,,,ANDA,sumatriptan succinate,sumatriptan succinate,False,False,,,,False,,False,False,False,False,True,False,False,2009,8,3,0,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844385,-0.5000000000000004,-1,0,0,0.3333333333333333,0
ANDA076563,NESHER PHARMS,DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,ORIG,1,AP,2006-09-12,,,ANDA,diltiazem hydrochloride,diltiazem hydrochloride,False,False,,,,False,,False,False,False,False,True,False,False,2006,9,3,0,0,other,1,0,0,0,0,0.0,0,0,-1.0,-1.8369701987210297e-16,-4,0,0,0.3333333333333333,0
ANDA076291,WATSON LABS,IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE,ORIG,1,AP,2005-05-09,,,ANDA,ipratropium bromide,ipratropium bromide,False,False,,,,False,,False,False,False,False,True,False,False,2005,5,2,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,-0.8660254037844387,-5,0,0,0.3333333333333333,0
ANDA084696,LANNETT,PROCAINAMIDE HYDROCHLORIDE,PROCAINAMIDE HYDROCHLORIDE,ORIG,1,AP,1977-05-11,,,ANDA,procainamide hydrochloride,procainamide hydrochloride,False,False,,,,False,,False,False,False,False,True,False,False,1977,5,2,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,-0.8660254037844387,-33,0,0,0.3333333333333333,0
ANDA081295,BRISTOL MYERS SQUIBB,ESTRACE,ESTRADIOL,ORIG,1,AP,1993-06-30,,,ANDA,estradiol,estrace,False,False,,,,False,,False,False,False,False,True,False,False,1993,6,2,0,0,other,1,0,0,0,0,0.0,0,0,1.2246467991473532e-16,-1.0,-17,0,0,0.3333333333333333,0
ANDA083574,IVAX SUB TEVA PHARMS,CHLORPROMAZINE HYDROCHLORIDE,CHLORPROMAZINE HYDROCHLORIDE,ORIG,1,AP,1974-05-06,,,ANDA,chlorpromazine hydrochloride,chlorpromazine hydrochloride,False,False,,,,False,,False,False,False,False,True,False,False,1974,5,2,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,-0.8660254037844387,-36,0,0,0.3333333333333333,0
ANDA084204,SUN PHARM INDUSTRIES,ISOSORBIDE DINITRATE,ISOSORBIDE DINITRATE,ORIG,1,AP,1978-12-01,,,ANDA,isosorbide dinitrate,isosorbide dinitrate,False,False,,,,False,,False,False,False,False,True,False,False,1978,12,4,0,0,other,1,0,0,0,0,0.0,0,0,-2.4492935982947064e-16,1.0,-32,1,0,0.3333333333333333,0
ANDA077136,MYLAN,TERBINAFINE HYDROCHLORIDE,TERBINAFINE HYDROCHLORIDE,ORIG,1,TA,2005-12-13,,,ANDA,terbinafine hydrochloride,terbinafine hydrochloride,False,False,,,,False,,False,False,False,False,True,False,False,2005,12,4,0,0,other,1,0,0,0,0,0.0,0,0,-2.4492935982947064e-16,1.0,-5,1,0,0.3333333333333333,0
ANDA077442,SUN PHARM INDS LTD,PSEUDOEPHEDRINE HYDROCHLORIDE,PSEUDOEPHEDRINE HYDROCHLORIDE,ORIG,1,AP,2005-09-28,,,ANDA,pseudoephedrine hydrochloride,pseudoephedrine hydrochloride,False,False,,,,False,,False,False,False,False,True,False,False,2005,9,3,0,0,other,1,0,0,0,0,0.0,0,0,-1.0,-1.8369701987210297e-16,-5,0,0,0.3333333333333333,0
ANDA077741,APOTEX INC,ALPRAZOLAM,ALPRAZOLAM,ORIG,1,AP,2007-01-19,,,ANDA,alprazolam,alprazolam,False,False,,,,False,,False,False,False,False,True,False,False,2007,1,1,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,0.8660254037844387,-3,0,0,0.3333333333333333,0
ANDA078035,ACTAVIS LABS FL INC,CABERGOLINE,CABERGOLINE,ORIG,1,AP,2008-04-21,,,ANDA,cabergoline,cabergoline,False,False,,,,False,,False,False,False,False,True,False,False,2008,4,2,0,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844387,-0.4999999999999998,-2,0,0,0.3333333333333333,0
ANDA078334,INTRA SANA LABS,GRANISOL,GRANISETRON HYDROCHLORIDE,ORIG,1,AP,2008-02-28,,,ANDA,granisetron hydrochloride,granisol,False,False,,,,False,,False,False,False,False,True,False,False,2008,2,1,0,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844386,0.5000000000000001,-2,0,0,0.3333333333333333,0
NDA017768,MOLNLYCKE HLTH,HIBICLENS,CHLORHEXIDINE GLUCONATE,ORIG,1,AP,1976-09-17,PRIORITY,Type 2 - New Active Ingredient,NDA,chlorhexidine gluconate,hibiclens,False,False,,,,False,,True,False,True,False,False,False,False,1976,9,3,1,0,other,1,0,0,0,0,0.0,0,0,-1.0,-1.8369701987210297e-16,-34,0,0,0.0,0
NDA017820,LILLY,DOBUTREX,DOBUTAMINE HYDROCHLORIDE,ORIG,1,AP,1978-07-18,PRIORITY,Type 1 - New Molecular Entity,NDA,dobutamine hydrochloride,dobutrex,False,False,,,,False,,True,False,True,False,False,True,False,1978,7,3,2,0,other,1,0,0,0,0,0.0,0,0,-0.4999999999999997,-0.8660254037844388,-32,0,0,0.0,0
NDA017866,BAXTER HLTHCARE,STERILE WATER IN PLASTIC CONTAINER,STERILE WATER FOR IRRIGATION,ORIG,1,AP,1980-05-30,STANDARD,Type 5 - New Formulation or New Manufacturer,NDA,sterile water for irrigation,sterile water in plastic container,False,False,,,,False,,False,True,True,False,False,False,False,1980,5,2,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,-0.8660254037844387,-30,0,0,0.3333333333333333,0
ANDA085161,WATSON LABS,PREDNISONE,PREDNISONE,ORIG,1,AP,1976-11-11,,,ANDA,prednisone,prednisone,False,False,,,,False,,False,False,False,False,True,False,False,1976,11,4,0,0,other,1,0,0,0,0,0.0,0,0,-0.5000000000000004,0.8660254037844384,-34,1,0,0.3333333333333333,0
ANDA085635,PFIZER,DEPO-TESTOSTERONE,TESTOSTERONE CYPIONATE,ORIG,1,AP,1979-07-25,,,ANDA,testosterone cypionate,depo-testosterone,False,False,,,,False,,False,False,False,False,True,False,False,1979,7,3,0,0,other,1,0,0,0,0,0.0,0,0,-0.4999999999999997,-0.8660254037844388,-31,0,0,0.3333333333333333,0
ANDA086024,VALEANT PHARMS LLC,CAPITAL AND CODEINE,ACETAMINOPHEN,ORIG,1,AP,1979-01-08,,,ANDA,acetaminophen,capital and codeine,False,False,,,,False,,False,False,False,False,True,False,False,1979,1,1,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,0.8660254037844387,-31,0,0,0.3333333333333333,0
ANDA086678,MYLAN,CYPROHEPTADINE HYDROCHLORIDE,CYPROHEPTADINE HYDROCHLORIDE,ORIG,1,AP,1979-04-23,,,ANDA,cyproheptadine hydrochloride,cyproheptadine hydrochloride,False,False,,,,False,,False,False,False,False,True,False,False,1979,4,2,0,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844387,-0.4999999999999998,-31,0,0,0.3333333333333333,0
ANDA090237,SANDOZ,OLMESARTAN MEDOXOMIL,OLMESARTAN MEDOXOMIL,ORIG,1,AP,2020-04-13,,,ANDA,olmesartan medoxomil,olmesartan medoxomil,False,False,,,,False,,False,False,False,False,True,False,False,2020,4,2,0,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844387,-0.4999999999999998,10,0,1,0.3333333333333333,0
ANDA090551,NOVITIUM PHARMA,DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,ORIG,1,AP,2011-05-31,,,ANDA,donepezil hydrochloride,donepezil hydrochloride,False,False,,,,False,,False,False,False,False,True,False,False,2011,5,2,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,-0.8660254037844387,1,0,0,0.3333333333333333,0
ANDA090878,APOTEX,TAMOXIFEN CITRATE,TAMOXIFEN CITRATE,ORIG,1,AP,2011-09-23,,,ANDA,tamoxifen citrate,tamoxifen citrate,False,False,,,,False,,False,False,False,False,True,False,False,2011,9,3,0,0,other,1,0,0,0,0,0.0,0,0,-1.0,-1.8369701987210297e-16,1,0,0,0.3333333333333333,0
ANDA087222,VALEANT PHARM INTL,ANDROID 5,METHYLTESTOSTERONE,ORIG,1,AP,1981-02-09,,,ANDA,methyltestosterone,android 5,False,False,,,,False,,False,False,False,False,True,False,False,1981,2,1,0,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844386,0.5000000000000001,-29,0,0,0.3333333333333333,0
ANDA087643,VANGARD,PROCAINAMIDE HYDROCHLORIDE,PROCAINAMIDE HYDROCHLORIDE,ORIG,1,AP,1982-06-01,,,ANDA,procainamide hydrochloride,procainamide hydrochloride,False,False,,,,False,,False,False,False,False,True,False,False,1982,6,2,0,0,other,1,0,0,0,0,0.0,0,0,1.2246467991473532e-16,-1.0,-28,0,0,0.3333333333333333,0
ANDA088007,PHARMAFAIR,PREDSULFAIR,PREDNISOLONE ACETATE,ORIG,1,AP,1983-04-19,,,ANDA,prednisolone acetate,predsulfair,False,False,,,,False,,False,False,False,False,True,False,False,1983,4,2,0,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844387,-0.4999999999999998,-27,0,0,0.3333333333333333,0
ANDA088329,HOSPIRA,LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,ORIG,1,AP,1984-05-17,,,ANDA,lidocaine hydrochloride,lidocaine hydrochloride,False,False,,,,False,,False,False,False,False,True,False,False,1984,5,2,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,-0.8660254037844387,-26,0,0,0.3333333333333333,0
ANDA088968,DURAMED PHARMS BARR,TRIFLUOPERAZINE HYDROCHLORIDE,TRIFLUOPERAZINE HYDROCHLORIDE,ORIG,1,AP,1985-04-23,,,ANDA,trifluoperazine hydrochloride,trifluoperazine hydrochloride,False,False,,,,False,,False,False,False,False,True,False,False,1985,4,2,0,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844387,-0.4999999999999998,-25,0,0,0.3333333333333333,0
ANDA089774,VALEANT PHARMS,MINITRAN,NITROGLYCERIN,ORIG,1,AP,1996-08-30,,,ANDA,nitroglycerin,minitran,False,False,,,,False,,False,False,False,False,True,False,False,1996,8,3,0,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844385,-0.5000000000000004,-14,0,0,0.3333333333333333,0
ANDA091228,PHARMOBEDIENT,PREGABALIN,PREGABALIN,ORIG,1,AP,2019-09-20,,,ANDA,pregabalin,pregabalin,False,False,,,,False,,False,False,False,False,True,False,False,2019,9,3,0,0,other,1,0,0,0,0,0.0,0,0,-1.0,-1.8369701987210297e-16,9,0,0,0.3333333333333333,0
NDA018873,BOEHRINGER INGELHEIM,MEXITIL,MEXILETINE HYDROCHLORIDE,ORIG,1,AP,1985-12-30,PRIORITY,Type 1 - New Molecular Entity,NDA,mexiletine hydrochloride,mexitil,False,False,,,,False,,True,False,True,False,False,True,False,1985,12,4,2,0,other,1,0,0,0,0,0.0,0,0,-2.4492935982947064e-16,1.0,-25,1,0,0.0,0
NDA018904,HOSPIRA,UROLOGIC G IN PLASTIC CONTAINER,CITRIC ACID,ORIG,1,AP,2008-05-07,STANDARD,Type 5 - New Formulation or New Manufacturer,NDA,citric acid,urologic g in plastic container,False,False,,,,False,,False,True,True,False,False,False,False,2008,5,2,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,-0.8660254037844387,-2,0,0,0.3333333333333333,0
ANDA200935,CHARTWELL RX,CALCIPOTRIENE,CALCIPOTRIENE,ORIG,1,AP,2012-05-30,,Not Applicable,ANDA,calcipotriene,calcipotriene,False,False,,,,False,,False,False,False,False,True,False,False,2012,5,2,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,-0.8660254037844387,2,0,1,0.3333333333333333,0
ANDA201781,PRINSTON INC,TEMAZEPAM,TEMAZEPAM,ORIG,1,AP,2015-06-04,,Not Applicable,ANDA,temazepam,temazepam,False,False,,,,False,,False,False,False,False,True,False,False,2015,6,2,0,0,other,1,0,0,0,0,0.0,0,0,1.2246467991473532e-16,-1.0,5,0,0,0.3333333333333333,0
ANDA202240,LUPIN LTD,CELECOXIB,CELECOXIB,ORIG,2,AP,2015-06-09,,,ANDA,celecoxib,celecoxib,False,False,,,,False,,False,False,False,False,True,False,False,2015,6,2,0,0,other,1,0,0,0,0,0.0,0,0,1.2246467991473532e-16,-1.0,5,0,0,0.3333333333333333,0
ANDA202240,LUPIN LTD,CELECOXIB,CELECOXIB,ORIG,1,AP,2014-10-29,,,ANDA,celecoxib,celecoxib,False,False,,,,False,,False,False,False,False,True,False,False,2014,10,4,0,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844386,0.5000000000000001,4,1,0,0.3333333333333333,0
ANDA202581,AUROBINDO PHARMA USA,QUININE SULFATE,QUININE SULFATE,ORIG,1,AP,2012-12-14,,,ANDA,quinine sulfate,quinine sulfate,False,False,,,,False,,False,False,False,False,True,False,False,2012,12,4,0,0,other,1,0,0,0,0,0.0,0,0,-2.4492935982947064e-16,1.0,2,1,1,0.3333333333333333,0
ANDA202939,MEDICAP LABS,QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,ORIG,1,AP,2017-05-09,,,ANDA,quetiapine fumarate,quetiapine fumarate,False,False,,,,False,,False,False,False,False,True,False,False,2017,5,2,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,-0.8660254037844387,7,0,0,0.3333333333333333,0
ANDA203322,NORVIUM BIOSCIENCE,SUMATRIPTAN SUCCINATE,SUMATRIPTAN SUCCINATE,ORIG,1,AP,2014-04-14,,,ANDA,sumatriptan succinate,sumatriptan succinate,False,False,,,,False,,False,False,False,False,True,False,False,2014,4,2,0,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844387,-0.4999999999999998,4,0,0,0.3333333333333333,0
ANDA203707,MYLAN,ACITRETIN,ACITRETIN,ORIG,1,AP,2015-09-10,,,ANDA,acitretin,acitretin,False,False,,,,False,,False,False,False,False,True,False,False,2015,9,3,0,0,other,1,0,0,0,0,0.0,0,0,-1.0,-1.8369701987210297e-16,5,0,0,0.3333333333333333,0
ANDA204068,DR REDDYS,OMEPRAZOLE AND SODIUM BICARBONATE,OMEPRAZOLE,ORIG,1,AP,2016-07-15,,,ANDA,omeprazole,omeprazole and sodium bicarbonate,False,False,,,,False,,False,False,False,False,True,False,False,2016,7,3,0,0,other,1,0,0,0,0,0.0,0,0,-0.4999999999999997,-0.8660254037844388,6,0,1,0.3333333333333333,0
ANDA204465,SOFIE,AMMONIA N 13,AMMONIA N-13,ORIG,1,AP,2014-10-23,,,ANDA,ammonia n-13,ammonia n 13,False,False,,,,False,,False,False,False,False,True,False,False,2014,10,4,0,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844386,0.5000000000000001,4,1,0,0.3333333333333333,0
NDA204819,BAYER HLTHCARE,ADEMPAS,RIOCIGUAT,ORIG,1,AP,2013-10-08,STANDARD,Type 1 - New Molecular Entity,NDA,riociguat,adempas,False,False,,,,False,,False,True,True,False,False,True,False,2013,10,4,1,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844386,0.5000000000000001,3,1,0,0.3333333333333333,0
ANDA205227,EXTROVIS,TEMOZOLOMIDE,TEMOZOLOMIDE,ORIG,1,AP,2016-06-29,STANDARD,,ANDA,temozolomide,temozolomide,False,False,,,,False,,False,True,False,False,True,False,False,2016,6,2,0,0,other,1,0,0,0,0,0.0,0,0,1.2246467991473532e-16,-1.0,6,0,1,0.3333333333333333,0
ANDA206419,HETERO LABS LTD III,TOLTERODINE TARTRATE,TOLTERODINE TARTRATE,ORIG,1,AP,2017-12-12,STANDARD,,ANDA,tolterodine tartrate,tolterodine tartrate,False,False,,,,False,,False,True,False,False,True,False,False,2017,12,4,0,0,other,1,0,0,0,0,0.0,0,0,-2.4492935982947064e-16,1.0,7,1,0,0.3333333333333333,0
ANDA205658,MAYNE PHARMA INC,HYDROCODONE BITARTRATE AND PSEUDOEPHEDRINE HYDROCHLORIDE,HYDROCODONE BITARTRATE,ORIG,1,AP,2015-11-17,STANDARD,,ANDA,hydrocodone bitartrate,hydrocodone bitartrate and pseudoephedrine hydrochloride,False,False,,,,False,,False,True,False,False,True,False,False,2015,11,4,0,0,other,1,0,0,0,0,0.0,0,0,-0.5000000000000004,0.8660254037844384,5,1,0,0.3333333333333333,0
ANDA206020,TEVA PHARMS USA,,,ORIG,1,TA,2018-07-10,STANDARD,,ANDA,,,False,False,,,,False,,False,True,False,False,True,False,False,2018,7,3,0,0,other,1,0,0,0,0,0.0,0,0,-0.4999999999999997,-0.8660254037844388,8,0,0,0.3333333333333333,0
